2026-01-15 11:48:34,853 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:34] "POST /users/308/upload HTTP/1.1" 200 -
2026-01-15 11:48:35,239 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:35] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:35,249 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:35] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:35,344 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:35] "GET /uploads/profiles/avatar.png HTTP/1.1" 200 -
2026-01-15 11:48:59,681 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "OPTIONS /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:59,695 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "PUT /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:59,706 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "OPTIONS /users/308/upload HTTP/1.1" 200 -
2026-01-15 11:48:59,714 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "POST /users/308/upload HTTP/1.1" 200 -
2026-01-15 11:48:59,978 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:59,985 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:59] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:49:00,031 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:00] "GET /uploads/profiles/avatar.png HTTP/1.1" 200 -
2026-01-15 11:49:07,578 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:07] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:07,581 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:07] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:07,640 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:07] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:07,747 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:07] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:08,792 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:08] "OPTIONS /users/8 HTTP/1.1" 200 -
2026-01-15 11:49:08,798 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:08] "OPTIONS /users/8 HTTP/1.1" 200 -
2026-01-15 11:49:08,808 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:08] "GET /users/8 HTTP/1.1" 200 -
2026-01-15 11:49:08,816 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:08] "GET /users/8 HTTP/1.1" 200 -
2026-01-15 11:49:08,837 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:08] "[36mGET /uploads/profiles/download.png HTTP/1.1[0m" 304 -
2026-01-15 11:49:10,578 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:10] "[36mGET /uploads/documents/income_certificate.pdf HTTP/1.1[0m" 304 -
2026-01-15 11:49:14,542 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:14] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:14,545 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:14] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:14,652 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:14] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:14,699 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:14] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:16,141 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:16] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:16,144 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:16] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:16,158 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:16] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:16,166 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:16] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:16,173 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:16] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-15 11:49:17,176 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:17] "[36mGET /uploads/documents/resume2.pdf HTTP/1.1[0m" 304 -
2026-01-15 11:49:23,655 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:23] "OPTIONS /users HTTP/1.1" 200 -
